Date,Close/Last,Volume,Open,High,Low,SYMBOL
09-09-2024,$160.77,7494915,$161.09,$162.37,$158.57,QUALCOM
09-06-2024,$158.19,10703050,$162.74,$163.19,$157.13,QUALCOM
09-05-2024,$163.70,5599989,$163.08,$165.7994,$161.85,QUALCOM
09-04-2024,$165.33,6737013,$163.00,$168.24,$162.63,QUALCOM
09-03-2024,$163.24,11620270,$171.885,$172.155,$162.00,QUALCOM
08/30/2024,$175.30,11110810,$172.29,$175.46,$170.80,QUALCOM
08/29/2024,$169.49,12514150,$173.42,$176.3599,$168.93,QUALCOM
08/28/2024,$171.85,6534566,$174.38,$175.72,$169.63,QUALCOM
08/27/2024,$173.93,6498782,$169.17,$174.44,$168.265,QUALCOM
08/26/2024,$169.49,7437611,$171.97,$172.38,$168.53,QUALCOM
08/23/2024,$173.50,6823561,$171.76,$174.62,$170.6301,QUALCOM
08/22/2024,$169.00,6743476,$174.30,$174.585,$168.38,QUALCOM
08/21/2024,$174.22,6309503,$172.99,$174.87,$172.075,QUALCOM
08/20/2024,$172.11,6222388,$173.86,$175.43,$171.15,QUALCOM
08/19/2024,$174.26,6708083,$171.57,$174.32,$168.74,QUALCOM
08/16/2024,$172.18,5435739,$172.285,$173.38,$170.63,QUALCOM
08/15/2024,$173.34,10752140,$171.75,$174.64,$170.61,QUALCOM
08/14/2024,$167.15,7208248,$170.64,$171.2587,$164.7248,QUALCOM
08/13/2024,$169.47,11102080,$164.30,$169.56,$163.28,QUALCOM
08-12-2024,$162.89,8548033,$160.56,$163.39,$157.42,QUALCOM
08-09-2024,$164.48,4824606,$164.07,$165.89,$161.98,QUALCOM
08-08-2024,$164.95,9590873,$160.74,$165.59,$157.87,QUALCOM
08-07-2024,$156.12,9266867,$163.58,$164.32,$155.50,QUALCOM
08-06-2024,$158.72,9301031,$158.42,$163.63,$156.50,QUALCOM
08-05-2024,$157.95,12733910,$153.27,$162.82,$151.3901,QUALCOM
08-02-2024,$159.31,16618860,$160.52,$164.26,$157.53,QUALCOM
08-01-2024,$164.00,24795020,$171.76,$176.97,$161.33,QUALCOM
07/31/2024,$180.95,19222190,$175.58,$181.08,$173.41,QUALCOM
07/30/2024,$166.94,15338920,$179.34,$179.40,$166.7721,QUALCOM
07/29/2024,$178.64,6051554,$181.50,$182.64,$177.85,QUALCOM
07/26/2024,$180.05,6567842,$179.01,$181.30,$177.57,QUALCOM
07/25/2024,$175.39,12700060,$179.62,$180.235,$173.27,QUALCOM
07/24/2024,$181.07,13295250,$189.335,$189.61,$180.69,QUALCOM
07/23/2024,$193.35,5796721,$194.20,$196.24,$192.15,QUALCOM
07/22/2024,$194.97,7590017,$191.00,$195.50,$189.05,QUALCOM
